657|"Tarenna asiatica (L.) Kuntze ex Schumann"
658|"Flacourtia indica (Burm.f.) Merr."
662|"Acacia intsia (L.) Willd."
663|"Polygala arvensis Willd."
664|"Senna auriculata (L.) Roxb."
665|"Securinega leucopyrus (Willd.) Muell.Arg."
667|"Ziziphus xylopyrus (Retz.) Willd."
669|"Euphorbia rosea Retz."
671|"Lepidagathis cristata Willd."
673|"Mariscus squarrosus (L.) C.B.Clarke"
674|"Ipomoea hispida Roemer et Schultes"
675|"Brugmansia x candida Pers."
677|"Cytisus scoparius (L.) Link"
678|"Brugmansia sanguinea (Ruiz et Pav.) D.Don"
679|"Brugmansia aurea Lagerh."
680|"Ulex europaeus L."
681|"Cupressus arizonica Greene"
682|"Taraxacum section Ruderalia Kirschn."
683|"Acacia mearnsii de Wilde"
684|"Hypericum mysurense B.Heyne ex Wight et Arn."
686|"Achyranthes bidentata Blume"
688|"Osbeckia sp."
690|"Sauropus bacciformis (L.) Airy Shaw"
691|"Cucumis melo L."
692|"Crotalaria montana Roth"
694|"Polygonum persicaria L."
695|"Malva sylvestris L."
696|"Sisymbrium officinale (L.) Scop. var. officinale"
697|"Cytisus striatus (Hill) Rothm."
698|"Lamium album L."
699|"Digitalis purpurea L."
700|"Centaurea thuillieri J.Duvigneaud et Lambinon"
701|"Vaccinium myrtillus L."
702|"Anemone nemorosa L."
703|"Primula veris L."
704|"Saponaria officinalis L."
705|"Geranium pyrenaicum Burm. f."
706|"Glechoma hederacea L."
707|"Stellaria holostea L."
708|"Epilobium roseum Schreb."
709|"Convolvulus arvensis L."
710|"Cynoglossum officinale L."
711|"Clematis vitalba L."
712|"Lysimachia nemorum L."
713|"Ligustrum vulgare L."
714|"Cardamine pratensis L. subsp. pratensis"
715|"Lonicera periclymenum L."
716|"Polygonatum odoratum (Mill.) Druce"
717|"Fragaria vesca L."
718|"Vicia sativa L. subsp. nigra (L.) Ehrh."
719|"Valeriana walrothii Kreyer"
721|"Arabis turrita L."
722|"Galium sylvaticum L."
723|"Ranunculus repens L."
724|"Ranunculus serpens Schrank"
725|"Viola palustris L."
726|"Anthriscus sylvestris (L.) Hoffm."
727|"Veronica chamaedrys L. var. chamaedrys"
728|"Viola tricolor L."
729|"Linaria vulgaris Mill."
730|"Tanacetum vulgare L."
731|"Equisetum arvense L."
732|"Tripleurospermum inodorum (L.) Sch. Bip."
733|"Forsythia suspensa (Thunb.) Vahl"
734|"Scilla siberica Haw."
735|"Ficaria verna Huds."
736|"Narcissus pseudonarcissus L."
737|"Taraxacum javanicum Soest"
738|"Ilex aquifolium L."
739|"Tussilago farfara L."
740|"Bellis perennis L."
741|"Berberis aquifolium Pursh"
742|"Salix x pendulina Wender."
743|"Erica carnea L."
744|"Buxus sempervirens L."
745|"Larix decidua Mill."
746|"Stellaria media (L.) Vill. subsp. media"
747|"Kerria japonica (L.) DC."
748|"Lamium purpureum L."
749|"Vinca minor L."
750|"Blechnum spicant (L.) Roth"
751|"Eriophorum vaginatum L."
752|"Cardamine hirsuta L."
753|"Calluna vulgaris (L.) Hull"
754|"Sphagnum sp."
755|"Fontinalis sp."
756|"Lamium galeobdolon (L.) L. subsp. argentatum (Smejkal) J.Duvigneaud"
757|"Muscari neglectum Guss. et Ten."
758|"Prunus avium (L.) L."
759|"Hyacinthus orientalis L."
760|"Viola riviniana Reichenb."
761|"Fragaria viridis Weston"
762|"Arum maculatum L."
763|"Allium ursinum L."
764|"Oxalis acetosella L."
765|"Adoxa moschatellina L."
766|"Mercurialis perennis L."
767|"Veronica filiformis Smith"
768|"Chelidonium majus L."
769|"Sambucus racemosa L."
771|"Rumex acetosella L. subsp. pyrenaicus (Pourret ex Lapeyr.) Akeroyd"
772|"Lunaria annua L."
774|"Aesculus hippocastanum L."
775|"Sorbus aucuparia L."
776|"Viburnum lantana L."
777|"Arabis alpina L. subsp. caucasica (Willd. ex Schlecht.) Briq."
778|"Syringa vulgaris L."
779|"Convallaria majalis L."
780|"Pulmonaria officinalis L."
781|"Rhododendron obtusum Planch."
782|"Symphytum officinale L. subsp. officinale"
783|"Prunus padus L."
784|"Silene dioica (L.) Clairv."
785|"Silene flos-cuculi (L.) Greuter et Burdet"
786|"Fagus sylvatica L."
787|"Ajuga reptans L."
788|"Athyrium filix-femina (L.) Roth"
789|"Maianthemum bifolium (L.) F.W.Schmidt"
791|"Hyacinthoides non-scripta (L.) Chouard ex Rothm."
793|"Galphimia gracilis Bartl."
794|"Jacquinia barbasco (Loefl.) Mez."
795|"Catesbaea spinosa L."
796|"Pentas lanceolata (Forssk.) Deflers"
797|"Rondeletia odorata Jacq."
798|"Triphasia trifolia (Burm.f.) P.Wils."
801|"Ceiba insignis (Kunth) P.E. Gibbs et Semir"
804|"Senna bicapsularis (L.) Roxb."
806|"Lagerstroemia sp."
808|"Lonchocarpus sericeus (Poiret) H.B.K."
809|"Diospyros discolor Willd."
810|"Diospyros malabarica (Desr.) Kostel"
811|"Wrightia tomentosa Roemer et Schultes"
812|"Lonchocarpus capassa Rolfe"
813|"Pterocarpus indicus Willd."
815|"Kopsia flavida Blume"
816|"Globba winitti C.H.Wright"
817|"Lotus pedunculatus Cav."
818|"Brassica napus L. subsp. napus"
819|"Drosera intermedia Hayne"
820|"Veronica chamaedrys L."
821|"Achillea millefolium L."
822|"Caltha palustris L."
824|"Acacia leucophloea (Roxb.) Willd."
825|"Clematis gouriana Roxb. ex DC."
826|"Limnophytum obtusifolium (L.) Miq."
827|"Ocimum basilicum L."
828|"Basilicum polystachyon (L.) Moench"
829|"Stenosiphonium russellianum Nees"
830|"Rostellularia procumbens (L.) Nees"
831|"Nicoteba betonica (L.) Lindau"
832|"Adhatoda zeylanica Medik."
833|"Solanum sp."
834|"Cardiospermum halicacabum L. var. microcarpum (Kunth) Blume"
835|"Ipomoea sp."
836|"Cressa cretica L."
837|"Cuscuta sp."
838|"Knoxia sp."
839|"Plumbago zeylanica L."
840|"Jasminum cuspidatum Rottler"
841|"Hultholia mimosoides (Lam.) Gagnon et G.P. Lewis"
844|"Sapindus emarginatus Vahl"
845|"Setaria sp."
846|"Heliotropium curassavicum L."
847|"Tribulus sp."
848|"Persicaria glabra (Willd.) M.Gomez"
849|"Rikliella squarrosa (L.) Raynal"
851|"Commelina erecta L."
853|"Commelina longifolia Lam."
854|"Brunfelsia australis Benth."
856|"Ricinus communis L."
858|"Commelina ensifolia R.Br."
859|"Canscora heteroclita (L.) Gilg"
862|"Coccinia grandis (L.) J.Voigt"
864|"Triumfetta pentandra A.Rich."
866|"Asystasia gangetica (L.) T.Anderson"
867|"Hemidesmus indicus (L.) R.Br."
868|"Indigofera linnaei Ali"
869|"Ocimum americanum L."
871|"Tonningia axillaris (L.) Kuntze"
873|"Euphorbia tithymaloides L"
874|"Sandoricum koetjape (Burm. f.) Merr."
875|"Vernicia fordii (Hemsl.) Airy Shaw"
876|"Millettia ovalifolia Kurz"
877|"Opuntia stricta (Haw.) Haw. var. dillenii (Ker Gawler) L.D. Benson"
878|"Pterocarpus marsupium Roxb."
879|"Shuteria vestita Wight et Arn."
880|"Solena amplexicaulis (Lam.) Gandhi"
881|"Toddalia asiatica (L.) Lam."
882|"Ouret lanata (L.) Kuntze"
883|"Scutia myrtina (Burm.f.) Kurz"
884|"Jatropha gossypifolia L."
885|"Ixora pavetta Andrews"
886|"Cleistanthus collinus (Roxb.) Benth. ex Hook.f."
889|"Wattakaka volubilis (L.f.) Stapf"
890|"Hugonia mystax L."
891|"Derris ovalifolia (Wight et Arn.) Benth."
892|"Micrargeria wightii Benth."
893|"Ochna obtusata DC."
895|"Schleichera oleosa (Lour.) Oken"
896|"Drypetes roxburghii (Wallich) Hurusawa"
897|"Phanera vahlii (Wight et Arn) Benth."
899|"Crescentia cujete L."
900|"Pterocarpus echinatus Pers."
902|"Amherstia nobilis Wall."
903|"Schefflera actinophylla (Endl.) Harms"
904|"Saraca asoca (Roxb.) de Wilde"
906|"Lonchocarpus species"
907|"Averrhoa carambola L."
908|"Averrhoa bilimbi L."
910|'"Flacourtia ramontchi L''H?r."'
